Designator,Footprint,Quantity,Value,LCSC Part #
BMI160,BMI160,1,~,
BMS1,BMS,1,2S 20A,
BT1,BAT_1048P,1,1048P,
"C1, C2, C25, C26",0805,4,47u,
"C10, C12, C13, C14, C9",0805,5,0u1,
"C15, C31, C33, C34, C35, C8",0805,6,22u,
"C16, C17, C23, C24, C27",0805,5,u1,
"C18, C28",0805,2,47,
C19,0805,1,10u,
"C20, C22",0805,2,1u,
"C21, C3",0805,2,100n,
"D4, D5",0805,2,LED,
J1,GCT_USB4215-03-A_REVA,1,USB4215-03-A_REVA,
"J10, J4",JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,2,Conn_01x04_Pin,
J11,PinHeader_2x06_P2.54mm_Vertical,1,Conn_01x12_Pin,
J2,SD card connector,1,SD card connector,
"J3, J8",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,Conn_01x02_Pin,
"J7, J9",PinHeader_2x07_P2.54mm_Vertical,2,Conn_01x14_Pin,
MPU6050,BMU6050,1,~,
"Q1, Q2",SOT-23,2,Q_PMOS_GSD,
"Q5, Q6",SOT-23,2,Q_NMOS_Depletion_SGD,
"R1, R17, R21, R26, R27, R28, R34, R35, R36, R37, R39, R6, R8",0805,13,10k,
"R10, R7, R9",0805,3,100k,
"R11, R14, R15, R20, R24, R25, R29, R30, R31",0805,9,0,
"R12, R13",0805,2,5k1,
R16,0805,1,27k,
R18,0805,1,10m,
"R19, R38",0805,2,100,
R4,0805,1,68k,
R5,0805,1,33k,
"STP_UP1, STP_UP2",STP_UP,2,~,
SW1,SW_TL3305AF160QG,1,EN/RST,
SW2,SW_TL3305AF160QG,1,BOOT,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U13,SOT-223-3_TabPin2,1,AZ1117CH-5.0TRG1,
U14,SOT-223-3_TabPin2,1,AZ1117CH-3.3TRG1,
"U2, U3",VREG_LM5017MR_NOPB,2,DRV8870DDAR,
U5,IC_AP33771DKZ-13,1,AP33771DKZ-13,
U9,SSOP-4_4.4x2.6mm_P1.27mm,1,GP2S700HCP,
