Designator,Mid X,Mid Y,Rotation,Layer
BMI160,180.0,-97.5,270.0,top
BMS1,140.5,-113.0,0.0,top
BT1,149.9,-105.6,180.0,bottom
C1,164.285,-141.35,180.0,top
C10,127.0,-60.0,0.0,top
C12,127.0,-63.0,180.0,top
C13,187.3,-56.3,180.0,top
C14,178.0,-81.8,90.0,top
C15,195.5,-87.0,270.0,top
C16,192.0,-86.9625,270.0,top
C17,168.2,-125.0375,90.0,top
C18,118.0,-52.7635,270.0,top
C19,108.0,-79.0,270.0,top
C2,134.7,-134.0,0.0,top
C20,108.0,-64.0,90.0,top
C21,122.25,-70.825,0.0,top
C22,112.0,-69.0,90.0,top
C23,164.285,-138.75,180.0,top
C24,134.7,-136.6,0.0,top
C25,171.635,-125.05,90.0,top
C26,110.8625,-124.2,0.0,top
C27,110.8625,-127.5,0.0,top
C28,118.0,-57.4,90.0,top
C3,118.075,-66.0375,90.0,top
C31,152.2,-99.25,180.0,top
C33,147.9,-99.25,0.0,top
C34,132.6,-98.8,180.0,top
C35,127.8,-98.8,0.0,top
C8,139.6,-58.3625,90.0,top
C9,141.6,-58.3625,90.0,top
D4,103.0,-84.0,90.0,top
D5,118.225,-80.25,180.0,top
J1,102.5,-55.35,270.0,top
J10,155.5,-143.25,270.0,top
J11,155.03,-83.17,90.0,top
J2,190.1,-67.35,90.0,top
J3,144.5,-145.75,90.0,top
J4,144.5,-132.75,90.0,top
J7,133.17,-66.08,0.0,top
J8,155.3,-130.25,270.0,top
J9,176.67,-66.04,0.0,top
MPU6050,181.5,-113.5,0.0,top
Q1,188.9375,-126.95,180.0,top
Q2,110.9,-130.3,0.0,top
Q5,103.9625,-74.0,180.0,top
Q6,103.9,-69.0,270.0,top
R1,156.6,-94.65,0.0,top
R10,127.25,-78.0,180.0,top
R11,131.85,-81.5,180.0,top
R12,112.0,-51.4,0.0,top
R13,112.0,-58.8,0.0,top
R14,131.85,-85.0,180.0,top
R15,131.85,-78.0,180.0,top
R16,121.0,-66.0375,90.0,top
R17,103.0,-79.0,270.0,top
R18,111.2,-77.1,90.0,top
R19,108.0,-74.0,90.0,top
R20,108.0,-69.0,270.0,top
R21,116.1875,-83.5,0.0,top
R24,112.0,-53.8,180.0,top
R25,112.0,-56.4,180.0,top
R26,143.9,-77.5,180.0,top
R27,137.7,-77.5,180.0,top
R28,165.5,-84.4,270.0,top
R29,122.25,-73.825,0.0,top
R30,181.5,-81.8,90.0,top
R31,115.75,-62.1,180.0,top
R34,195.5,-81.8,90.0,top
R35,192.0,-81.8,90.0,top
R36,188.5,-81.8,90.0,top
R37,185.0,-81.8,90.0,top
R38,156.4,-89.5,270.0,top
R39,198.8,-81.8,90.0,top
R4,192.7,-52.3,0.0,top
R5,192.7,-55.7,0.0,top
R6,127.0,-57.0,0.0,top
R7,127.25,-81.5,180.0,top
R8,174.5,-81.8,90.0,top
R9,127.25,-85.0,180.0,top
STP_UP1,183.5,-141.7,180.0,top
STP_UP2,116.5,-141.7,0.0,top
SW1,125.3,-52.6,0.0,top
SW2,184.7,-52.6,180.0,top
U1,155.0,-63.0,0.0,top
U13,128.8,-91.8,270.0,top
U14,148.9,-92.2,270.0,top
U2,136.35,-140.75,180.0,top
U3,162.635,-134.55,0.0,top
U5,116.25,-75.075,90.0,top
U9,160.865,-91.5,0.0,top
